Tool,Platform,Encryption_Speed (ms),Decryption_Speed (ms),CPU_Usage (%),Memory_Usage (MB),Security_Level,Compatibility
Blowfish,Android,6.24,7.7,15.91,21.94,Low,Medium
ECC,MacOS,6.55,2.63,40.6,65.42,Medium,Low
AES,MacOS,6.65,4.43,16.43,277.4,Medium,Low
RSA,iOS,2.29,5.87,43,68.23,High,High
AES,MacOS,2.43,3.52,11.77,24.38,High,Medium
RSA,Windows,1.28,8.86,29.72,313.75,Medium,Medium
DES,iOS,5.33,8.04,28.27,122.81,High,High
AES,Linux,4.77,5.75,34.05,343.87,Low,Medium
Blowfish,iOS,7.72,4.6,20.1,453.68,Medium,High
DES,Linux,9.68,4.37,5.42,215.66,High,Low
RSA,Android,4.07,1.59,47.98,186.67,Medium,Low
RSA,Android,2.13,4.09,32.91,90.4,Low,Medium
DES,Android,5.97,2.82,36.58,160.3,High,Low
RSA,MacOS,4.28,6.77,41.56,61.2,Medium,Low
AES,iOS,8.24,3.46,22.24,57.81,Low,High
DES,MacOS,1.76,1.28,32.52,88.29,Low,Low
AES,Linux,5.22,1.74,9,55.85,Medium,Low
Blowfish,Linux,6.42,1.67,40.91,36.35,Medium,Low
DES,MacOS,2.04,4.81,35.9,98.27,Low,Low
RSA,MacOS,5.14,6.53,32.44,229.84,Medium,Medium
Blowfish,Android,6.09,4.68,13.7,197.56,Low,High
RSA,Linux,7.44,0.98,21.99,399.1,Medium,Medium
ECC,MacOS,6.44,9.44,8.01,347.11,Medium,Medium
Blowfish,iOS,9.1,6.62,12.5,464.08,High,High
Blowfish,Android,9.27,2.38,20,310.13,Low,Low
RSA,MacOS,4.03,8.37,26.75,384.38,Medium,Low
Blowfish,MacOS,8.85,8.58,9.75,314.48,Medium,Low
ECC,iOS,7.6,7.26,9.33,68.78,Low,Medium
AES,iOS,3.78,3.75,28.18,348.26,Low,High
AES,Windows,2.46,0.7,29.27,352.13,Low,High
DES,Linux,0.63,0.94,10.47,176.16,Medium,High
Blowfish,Android,7.7,8.44,32.86,415.88,Low,High
RSA,Android,3.11,5.88,11.26,138.65,High,Medium
RSA,Android,9.58,7.94,46.11,48.11,Low,High
Blowfish,Windows,5.93,5.18,22.37,413.02,Low,Low
RSA,Android,9.87,5.36,41.17,331.04,Medium,High
Blowfish,Linux,3.69,4.05,30.82,418.2,High,High
RSA,Windows,6.39,1.39,25.26,388.71,High,Low
RSA,MacOS,5.72,2.13,44.59,183.16,Low,High
Blowfish,Windows,1.25,6.51,19.29,64.95,Low,High
DES,MacOS,2.89,4.53,10.65,201.03,Medium,High
AES,Windows,7.13,3.82,9.81,230.76,High,Medium
RSA,MacOS,7.02,8.14,10.33,384.37,High,Medium
Blowfish,Android,2.87,5.45,35.74,255.72,Medium,Medium
DES,Linux,9.51,6.55,19.73,263.65,Low,High
ECC,Linux,7.92,3.56,31.7,256.62,Low,Low
AES,MacOS,1.08,9.04,19.11,409,Medium,High
DES,MacOS,9.49,7,27.49,210.81,Medium,High
ECC,Android,3.4,9.76,32.41,26.05,Low,Low
RSA,iOS,1.67,9.14,32.6,431.96,High,Low
ECC,Linux,3.6,1.16,8.99,55.88,High,Medium
ECC,Windows,9.41,2.17,20.48,466.12,Medium,Medium
RSA,Windows,10,4.29,15.47,158.09,High,Low
Blowfish,Windows,5.06,2.79,28.81,111.8,Medium,Low
DES,MacOS,5.71,4.93,11.37,478.86,Low,High
ECC,Android,0.99,7.46,10.99,88.76,Medium,Medium
RSA,Linux,9.18,4.95,33.04,92.58,High,High
Blowfish,MacOS,6.14,6.77,45.06,496.56,Low,High
AES,MacOS,2.85,1.28,28.37,27.97,High,High
RSA,MacOS,4.59,8.4,34.92,187.39,Medium,Medium
DES,Android,7.57,3.92,23.18,104.65,High,Medium
AES,Windows,1.76,6.86,28.26,438.05,Medium,Medium
RSA,Android,4.77,9.3,18.65,365.99,High,Low
ECC,Android,9.92,8.65,40.33,330.35,Medium,High
ECC,Android,6.55,0.61,37.68,130.31,Low,Medium
DES,MacOS,7.44,3.07,30.09,295.53,High,High
Blowfish,Windows,6.09,9.32,41.28,106.52,Low,Medium
ECC,Android,5.82,3.7,12.82,227,Low,High
Blowfish,iOS,4.14,8.87,22.24,109.92,Low,Medium
AES,Windows,2.79,8.89,15.75,75.63,High,High
RSA,MacOS,6.68,2.11,38.28,434.69,High,Medium
RSA,MacOS,4.08,9.21,5.93,487.47,Low,High
RSA,Linux,1.04,6.55,45.42,141.03,High,Medium
Blowfish,Android,6.14,5.25,38.99,91.9,High,Medium
ECC,Linux,6.51,6.12,32.79,349.27,Medium,High
ECC,MacOS,3.25,3.99,38.4,447.66,Medium,High
Blowfish,Windows,5.59,6.82,22.71,87.23,Low,Low
ECC,MacOS,7.16,6.24,9.12,354.95,Medium,High
ECC,Android,2.57,2.22,19.16,117.31,High,Low
RSA,iOS,5.14,9.48,49.11,77.36,Medium,High
DES,iOS,6.81,2.97,9.93,111.57,High,Medium
Blowfish,Windows,9.6,4.49,44.95,93.61,High,Medium
RSA,MacOS,3.01,6.76,25.06,154.68,Low,Medium
AES,iOS,8.78,5.54,40.31,370.5,High,Medium
Blowfish,Linux,1.68,8.04,10.22,11.76,Medium,Low
Blowfish,Android,5.47,1.22,24.2,496.41,High,Low
ECC,iOS,2.42,5.65,28.57,186.84,High,Medium
RSA,Windows,5.29,1.08,13.57,59.28,High,High
Blowfish,Windows,3.49,3.23,43.6,158.18,High,Low
Blowfish,Android,7.98,5.58,31.63,294.38,Low,Medium
RSA,iOS,2.92,9.61,6.37,157.95,High,Medium
AES,MacOS,6.43,3.53,47.16,350.26,Low,High
DES,Windows,4.97,9,48.41,297.8,Low,High
RSA,iOS,4.11,2.38,48.83,219.69,Low,High
Blowfish,Linux,4.02,4.27,8.68,75.97,Medium,Medium
ECC,Linux,6.17,3.53,27,26.21,High,Low
RSA,Windows,0.86,8.6,18.86,133.48,Medium,Low
DES,Windows,0.51,9.87,46.53,331.36,Low,Low
Blowfish,Android,8.63,6.44,49.41,184.58,High,High
AES,Linux,7.8,1.2,32.31,258.19,Medium,Medium
AES,Windows,2.53,4.56,41.6,52.07,High,High
AES,MacOS,7.75,4.07,44.54,225.27,Low,Medium
ECC,iOS,9.62,3.51,41.54,213.23,Medium,Medium
ECC,iOS,6.48,4.42,20.01,423.37,Low,High
RSA,Linux,8.62,5.35,20.52,262.48,Low,Low
RSA,iOS,4.48,4.11,10.42,349.59,Low,High
DES,Linux,7.86,6.84,20.15,85.61,Low,Medium
DES,Android,4.29,3.77,21.11,476.14,High,Low
AES,MacOS,2.33,5.59,49.67,267.54,Medium,Medium
ECC,Linux,9.17,7.93,26.45,332.85,Low,Low
RSA,MacOS,4.53,2.19,12.9,249.96,Medium,High
ECC,MacOS,3.95,3.43,11.45,427.71,High,Medium
DES,Windows,5.51,9.16,30.82,374.69,High,Medium
ECC,Windows,9.5,1.05,42.57,75.91,Medium,High
AES,Linux,8.62,3.13,6.3,319.75,High,High
AES,iOS,7.11,1.33,25.29,494.45,Medium,Low
ECC,iOS,1.26,2.82,25.08,39.29,High,High
ECC,Windows,1.27,7.19,35.74,493.04,Low,High
DES,Linux,6.8,7.42,27.45,59.76,High,Medium
AES,Linux,2.71,2.67,37.05,355.19,Low,Low
RSA,Windows,4.87,8.85,38.67,381.7,High,Low
RSA,Linux,1.01,8.83,25.96,431.81,Low,Medium
ECC,MacOS,6.56,6.74,28.99,431.93,Low,Medium
RSA,Windows,5.33,8.45,10.2,22.97,High,Medium
RSA,Windows,2.64,8.71,35.55,344.56,High,Low
ECC,Windows,7.78,1.48,30.52,158.68,Medium,High
RSA,MacOS,1.77,4.29,10.39,452.24,High,Low
DES,Linux,6.64,9.15,26.82,58.06,Low,Low
ECC,Linux,7.09,7.82,9.3,174.36,Medium,Low
RSA,iOS,6.8,6.95,10.37,315.84,High,Medium
RSA,Linux,1.71,1.43,12.7,36.71,Medium,Low
DES,iOS,9.15,3.21,26.84,168.88,Medium,Medium
RSA,Linux,8.37,5.43,47.93,115.2,High,Medium
AES,Linux,7.33,7.16,44.04,354.3,Low,Low
RSA,Windows,9.72,4.44,49.23,25.25,Medium,High
ECC,Android,8.81,8.01,37.64,31.58,High,Medium
Blowfish,MacOS,2.11,9.06,45.86,236.36,Medium,High
DES,MacOS,5.98,4.49,35.41,61.25,High,Low
Blowfish,Windows,0.72,6.97,31.3,353.78,High,Medium
DES,iOS,3.48,9.09,32.61,68.43,Medium,High
DES,MacOS,4.39,8.86,42.89,405.82,Low,Medium
ECC,Windows,7.75,6.59,26.08,128.37,High,High
RSA,Linux,3.35,9.22,41.34,160.09,High,Low
AES,Linux,5.89,10,33.74,205.69,Medium,Medium
AES,MacOS,7.29,3.52,11.25,105.64,Low,High
DES,MacOS,1.48,1.76,49.99,21.27,Low,High
AES,Android,0.57,6.42,19.38,104.47,Medium,High
ECC,iOS,3.71,5.2,12.25,130.24,Medium,Low
Blowfish,MacOS,3.1,2.56,46.86,61.67,Medium,High
RSA,Android,1.09,4.6,15.72,22.27,Medium,Low
ECC,Windows,6.72,6.97,23.02,231.04,High,Low
RSA,MacOS,6.41,3.96,25.02,383.64,High,Low
ECC,iOS,9.53,6.76,27.88,233.64,Low,Low
AES,Linux,1.47,4.99,37.7,183.86,Medium,Medium
RSA,iOS,0.82,1.67,19.06,152.55,High,Low
DES,Android,7.21,1.21,42.27,235.35,High,Medium
AES,Windows,2.6,3.45,9.08,399.1,High,Low
AES,iOS,7.11,0.99,13.74,155.24,Low,Medium
ECC,MacOS,6.89,3.24,26.55,415.07,Medium,Medium
RSA,iOS,2.81,1.66,29.4,137.09,High,Medium
Blowfish,Android,7.39,3.95,15.71,146.79,Low,Low
AES,Linux,1.58,7.38,30.04,58.84,Low,Medium
AES,Linux,4.95,0.88,23.35,426.72,Low,Low
DES,MacOS,1.96,1.14,43.69,42.98,High,Low
AES,Linux,5.84,7.49,33.34,188.01,Low,Low
DES,Linux,8.6,3.32,41.55,235.29,Low,Medium
ECC,MacOS,5.2,3.17,16.36,346.48,Medium,Low
ECC,Android,5.18,5.37,33.98,75.52,Low,High
Blowfish,Windows,2.69,7.53,31.51,440.4,Medium,Low
ECC,Android,1.09,3.88,38.65,328.68,Low,Low
RSA,iOS,2.22,5.68,17.35,151.06,Medium,High
Blowfish,MacOS,6.93,6.16,39.12,99.49,Medium,Medium
Blowfish,Linux,1.8,2.09,12.41,151.86,High,High
AES,Android,9.64,0.76,14.99,189.66,Low,Medium
DES,MacOS,1.11,8.25,33.11,77.83,High,Medium
Blowfish,Android,0.64,7.13,23.23,123.91,Medium,Medium
Blowfish,Windows,1.66,4.93,37.88,242.62,High,Low
DES,MacOS,3.26,1.75,35.9,70.02,High,Medium
AES,iOS,4.75,7.89,41.97,490.14,High,Low
Blowfish,Linux,1,9.32,48.72,228.64,Low,Medium
AES,Windows,5.1,1.06,47.42,56.59,Medium,Medium
Blowfish,Android,4.98,7.38,24.35,418.27,Medium,Low
AES,iOS,3.77,2.86,44.02,74.76,Low,Medium
ECC,MacOS,0.94,8.89,6.34,344.54,High,Medium
RSA,iOS,8.56,2.63,21.03,17.98,Low,High
DES,iOS,6.84,0.75,28.6,94.37,Low,Low
RSA,Windows,3.93,1.08,29.38,33.83,Low,Low
DES,Windows,0.81,3.96,42.54,17.9,High,Medium
ECC,Linux,3.43,5.17,45.17,346.2,High,High
DES,MacOS,4.68,6.54,34.2,405.05,Low,Low
ECC,MacOS,5.54,7.34,35.32,235.34,Medium,Low
Blowfish,MacOS,0.88,1.78,36.68,293.97,High,Medium
Blowfish,Windows,3.51,4.04,45.06,74.43,Medium,High
Blowfish,Linux,3.42,3.18,13.5,123.86,High,High
Blowfish,Linux,9.54,0.8,28.99,181.37,High,Medium
AES,Android,2.47,8.51,7.37,114.44,Medium,High
AES,iOS,4.12,0.8,43.53,446.97,High,Medium
ECC,Linux,9.2,0.63,20.88,145.85,Low,High
Blowfish,Windows,6.34,7.24,31.4,206.7,Medium,Low
ECC,MacOS,0.97,4.93,45.74,139.2,High,High
AES,Windows,4.19,0.84,12.57,269.22,High,Low
Blowfish,Windows,5.48,9.64,17.96,431.41,Low,Medium
AES,Windows,4.43,5.05,40.7,42.26,Low,Low
AES,Android,1.03,2.97,30.07,311.94,Medium,Low
DES,Linux,8.12,1.41,30.51,482.85,High,Low
RSA,iOS,6.96,9.49,36.04,482.37,High,High
Blowfish,MacOS,3.51,6.89,23.39,395.81,Low,Low
AES,iOS,2.07,9.8,43.41,61.8,Medium,Low
DES,MacOS,3.2,5.97,6.97,423.55,High,Low
ECC,Linux,2.3,6.58,17.54,280.04,Medium,Medium
RSA,Android,8.12,1.48,12.64,220.88,High,Medium
Blowfish,MacOS,5.43,5.34,22.29,202.53,High,High
ECC,MacOS,7.9,4.34,15.48,69.7,Medium,Medium
AES,iOS,7.83,7.99,44.24,300.74,Medium,High
ECC,Windows,9.14,5.26,44.7,280.63,High,Medium
DES,Windows,1.84,0.75,35.93,471.96,Medium,High
AES,Windows,8.35,9.94,8.48,207.8,Medium,Low
AES,Android,4.39,1.54,48.77,62.87,High,High
RSA,MacOS,9.67,2.25,31.47,150.12,High,High
ECC,iOS,5.93,5.93,44.06,289.96,Low,Low
ECC,iOS,5.39,7.79,32.27,159.71,Medium,Low
AES,Android,2.06,6.08,17.66,29.15,High,Medium
Blowfish,Linux,3.72,5.93,7.8,195.41,Low,Medium
Blowfish,Linux,2.8,2.88,16.8,461.47,Low,Medium
ECC,Android,2.91,1.77,9.53,139.08,Low,High
ECC,Linux,8.44,2.58,21.78,236.67,Low,Low
Blowfish,Linux,3.65,9.14,7.56,251.5,High,Medium
RSA,MacOS,6.8,1.36,6.5,391.34,Low,Medium
RSA,Android,8.3,2.69,24.99,33.7,Medium,Medium
AES,Windows,7.6,6.01,28.43,439.41,Medium,High
RSA,Android,8.85,0.93,33.51,385.64,Low,High
ECC,MacOS,7.95,3.35,11.55,38.13,Low,Low
Blowfish,Android,2.72,1.75,40.79,400.44,High,Medium
DES,iOS,2.16,6.86,21.4,60.46,Medium,Low
RSA,MacOS,4.7,7,15.06,271.38,Low,High
DES,Linux,2.22,6.54,39.88,18.01,Medium,High
Blowfish,Linux,6.82,6.22,5.3,75.75,Medium,Medium
AES,iOS,7.13,8.93,29.89,332.73,High,Medium
AES,MacOS,4.46,4.15,34.3,268.89,Medium,Medium
DES,iOS,6.71,3.94,29.96,24.36,Medium,Medium
RSA,MacOS,1.71,6.9,32.98,57.37,Low,High
ECC,Linux,3.17,6.97,30.11,411.2,Low,High
RSA,Android,9.3,8.71,14.5,125.98,Low,Low
Blowfish,iOS,1.69,2.86,35.81,459.96,High,Medium
ECC,iOS,9.53,2.86,45.55,435.29,High,Low
Blowfish,iOS,9.67,8.93,30.89,328.06,Low,Low
RSA,Windows,4.42,0.83,23.9,233.34,Medium,Medium
RSA,iOS,7.34,8.79,30.82,431.76,High,Medium
RSA,MacOS,5.12,5.89,35.1,223.51,High,Low
Blowfish,Linux,8.76,3.76,43.06,219.3,Low,High
ECC,iOS,2.53,6.12,13.95,299.33,Low,Low
RSA,MacOS,4.05,1.88,42.56,428.49,High,Low
ECC,Windows,0.7,5.92,44.94,403.79,Medium,Medium
ECC,Windows,2.82,7.43,43.76,59.55,High,High
ECC,Android,9.5,1.51,32.92,79.29,Low,High
Blowfish,Linux,5.29,6.04,11.52,140.74,Low,High
Blowfish,Android,7.67,9.42,45.96,454.56,Low,Low
Blowfish,MacOS,6.3,8.45,30.01,405.25,Medium,High
RSA,Windows,8.01,4.2,7.12,394.08,High,High
ECC,Windows,6.32,1.78,48.81,341.3,High,Medium
ECC,iOS,7.98,1.25,46.52,340.23,High,High
AES,MacOS,8.7,4.75,35.54,190.24,Medium,Medium
RSA,MacOS,9.74,4.37,6.33,166.75,Low,Medium
ECC,Linux,5.81,8.91,34.73,472.2,Low,High
Blowfish,MacOS,3.2,2.15,40.86,356.07,High,Low
DES,Android,8.69,1.15,40.67,486.83,Low,Medium
RSA,MacOS,0.54,0.62,22.05,328.3,Medium,High
RSA,Android,0.73,7.22,45.92,223.72,High,Low
DES,Windows,3.81,7.07,49.43,332.65,High,Medium
ECC,iOS,5.91,5.76,36.78,461.57,Medium,Low
ECC,Linux,0.53,9.83,15.99,238.89,High,Medium
Blowfish,Windows,7.18,3.22,10.32,217.47,Low,Medium
RSA,iOS,9.42,3.08,5.15,38.59,Medium,High
Blowfish,Linux,4.34,9.31,29.18,469.86,High,High
DES,iOS,4.88,1.79,11.56,299.08,Low,High
Blowfish,Windows,8.31,2.32,49.46,55.71,Low,Low
DES,Android,5.57,4.59,6.35,306.62,Medium,Low
RSA,Linux,3.52,1.01,21.13,494.29,Low,High
DES,Android,6.25,3.38,42.62,75.73,Low,Medium
RSA,iOS,3.24,7.65,22.65,270.58,High,Low
Blowfish,Linux,1.82,8.08,7.55,353.34,Medium,High
DES,Linux,3.51,9.54,9.46,357.66,Medium,Medium
Blowfish,Linux,8.81,1.54,9.37,101.13,High,Medium
Blowfish,Android,2.16,3.22,38.84,354.96,Low,Low
DES,iOS,5.72,4.41,33.83,139.13,Low,Low
Blowfish,Windows,3.97,6.29,45.59,397.25,Medium,High
ECC,Android,6.48,4.43,37.7,15.85,Low,High
AES,Windows,3.51,6.95,33.76,208.41,High,Low
Blowfish,MacOS,9.51,0.7,44,149.7,Medium,Low
AES,Windows,5.83,7.29,33.71,254.01,Medium,Medium
DES,Android,6.53,5.74,14.51,469.9,High,Medium
DES,Linux,8.62,0.56,43.67,189.04,High,Medium
RSA,MacOS,7.66,5.44,47.57,463.24,High,High
DES,MacOS,8.24,6.09,23.66,246.92,Medium,Low
AES,Windows,3.48,1.2,36.92,279.57,Medium,High
Blowfish,Windows,9.14,6.87,44.22,230.71,Low,Medium
RSA,Android,7.66,5.98,45.55,22.15,High,Medium
ECC,MacOS,4.79,8.95,19.01,307.53,Medium,Low
AES,MacOS,2.65,1.15,8.65,278.84,Medium,Low
RSA,Linux,4.69,6.01,16.22,331.66,Medium,High
ECC,MacOS,8.77,1.53,23.66,479.23,High,Low
ECC,Android,0.78,3.76,10.97,173.32,Medium,Low
AES,Android,3.76,2.64,49.08,133.97,Medium,Low
DES,Android,9.41,8.74,45.62,340.24,Medium,Medium
AES,iOS,6.76,6.26,5.46,443.42,High,Medium
AES,MacOS,8.3,2.8,14.52,489.14,High,High
AES,MacOS,7.49,9.7,18.82,274.05,Medium,Low
DES,Android,9.86,3.98,49.51,393.5,Low,High
AES,MacOS,7.02,9.2,33.11,331.96,Low,Low
RSA,Linux,3.82,4.68,30.18,271.89,Medium,Medium
AES,iOS,1.86,1.97,8.08,14.69,Medium,Medium
Blowfish,iOS,6.91,5.62,27.25,35.6,Medium,Medium
DES,Windows,6.47,0.74,8.72,304.47,High,Medium
ECC,Windows,5.44,6.01,15.45,368.38,Medium,Medium
RSA,Windows,2.04,4.9,48.45,326.15,High,Medium
ECC,Linux,5.75,7.88,31.62,190.14,Medium,Low
AES,Windows,3.18,8.74,19.21,250.11,High,High
RSA,MacOS,3.39,3.42,41.11,394.67,High,Medium
DES,iOS,3.94,7.67,43.57,265.07,Low,Low
AES,Windows,3.34,2.55,24.61,224.22,Low,High
ECC,iOS,1.08,1.25,49.22,175.92,Low,Low
AES,Android,9.68,1.11,19.12,227.7,Low,High
RSA,iOS,4.25,0.97,16.43,285.36,High,High
Blowfish,Windows,9.79,9.35,45.93,131.25,Medium,High
Blowfish,MacOS,8.66,4.96,10.77,328.43,Medium,High
RSA,iOS,2.39,8.57,22.15,118.09,High,Low
RSA,Windows,9.43,5.04,20.19,433.83,Medium,Medium
DES,Android,1.35,2.5,28.61,492.99,High,Medium
Blowfish,Linux,6.81,6.4,23.56,436.94,High,High
AES,Windows,4.39,6.71,26.69,312.71,High,Low
AES,Windows,7.03,2.65,8.1,321.09,Low,Low
AES,Windows,9.8,7.07,10.13,424.61,Low,High
Blowfish,Windows,6.58,6.65,49.56,452.86,Low,Medium
ECC,Android,3.3,4.27,34.28,394.97,Low,Low
ECC,iOS,6.44,5.32,30.31,394.94,Medium,High
RSA,iOS,3.23,4.91,45.73,28.52,Medium,Medium
RSA,Windows,6.14,1.26,29.82,251.68,Low,High
Blowfish,Windows,5.52,5.19,28.08,93.83,Low,Medium
Blowfish,Windows,8.84,4.92,21.94,99.46,High,Medium
DES,iOS,8.59,3.65,20.77,219.56,Low,Low
DES,Windows,1.87,7.17,20.7,343.22,High,Medium
RSA,MacOS,6.03,3.59,47,12.22,Medium,Medium
RSA,Android,3.3,9.29,25.82,191.64,Medium,High
DES,Android,1.61,2.77,31.04,468.66,Medium,High
DES,Android,0.81,8.25,17.56,125.14,High,High
ECC,iOS,5.08,9.72,41.06,264.23,Low,Low
AES,Windows,4.13,7.75,40.63,197.28,Medium,High
Blowfish,Windows,0.61,5.27,9.31,495.09,Medium,Medium
ECC,Android,5.77,3.73,34.74,118.92,Medium,High
Blowfish,Android,1.28,3.17,15.16,87.9,Medium,Medium
RSA,Linux,2.1,0.7,39.13,473.21,High,Low
AES,iOS,2.67,6.94,20.36,337.31,Low,Medium
Blowfish,iOS,5.44,0.98,8.13,412.55,Medium,High
ECC,iOS,0.67,5.14,7.29,346.2,High,Medium
DES,Linux,3.51,9.19,45.65,350.21,High,Medium
Blowfish,Linux,5.01,3.23,46.01,141.16,Medium,High
RSA,MacOS,5.8,6.48,42.66,362.54,High,Medium
Blowfish,Windows,5.61,3.66,49.57,359.78,Low,High
ECC,Windows,8.92,4.35,36.26,132.74,High,Low
ECC,iOS,2.01,6.73,15.75,260.92,Medium,High
DES,Windows,4.9,8.74,44.8,299.92,High,Low
ECC,iOS,8.05,8.41,10.69,117.97,Low,High
DES,MacOS,1.28,0.92,11.89,436.27,Low,High
DES,Linux,1.04,1.6,36.8,22.45,High,High
ECC,Linux,7.47,5.76,26.58,23.66,Medium,High
DES,Windows,9.83,7.41,21.78,241.81,High,High
RSA,Android,8.93,3.49,9.56,411.82,High,Low
AES,Linux,5.84,9.53,17.2,239.43,Medium,Medium
DES,iOS,0.88,7.6,17.22,238.01,Low,Low
RSA,Linux,6.21,2.95,6.96,82.88,High,High
DES,Linux,0.57,2.57,19,328.12,High,Low
DES,iOS,4.67,5.41,15.35,47.95,Low,Medium
ChaCha20,iOS,19.54,19.92,49.4,348.84,High,Medium
DES,iOS,17.25,9.83,30.77,442.84,High,Low
Blowfish,MacOS,2.42,18.57,36.21,252.9,Medium,Medium
ChaCha20,Linux,18.17,8.21,79.5,163.49,Medium,High
ECC,MacOS,16.1,2.99,16.8,379.3,Medium,Medium
Blowfish,Linux,16.05,5.68,84.48,117.83,Low,High
Blowfish,MacOS,10.24,9.54,48.49,200.38,Medium,Low
ChaCha20,iOS,9.16,5.95,63.65,434.21,Low,Medium
RSA,iOS,7.45,2,18.07,364.97,Medium,High
ECC,Windows,3.18,18.47,40.36,207.87,Medium,Medium
ChaCha20,MacOS,6.11,17.19,18.07,115.22,High,Medium
ECC,Android,6.44,15.36,96.54,184.42,Medium,Medium
ECC,Windows,10.71,5.02,82.65,149.21,Low,Medium
Blowfish,MacOS,15.45,4.17,51.37,96.28,High,Low
DES,MacOS,10.53,3.22,30.12,374.23,Low,High
ECC,Windows,3.04,15.03,94.01,133.51,High,Medium
Twofish,iOS,19.24,18.72,41.01,232.54,Low,High
Blowfish,MacOS,18.97,9.75,24.49,199.07,High,Low
RSA,iOS,16.13,4.14,60.68,491.22,Low,High
DES,Windows,19.84,11.22,94.94,201.64,Low,High
Twofish,iOS,11.8,8.28,10.34,49.19,Medium,Low
Twofish,Linux,19.33,8.75,31.43,54.01,High,Medium
RSA,Android,3.36,13.18,94.46,299.47,High,High
DES,MacOS,8.58,14.94,25.4,303.69,Medium,High
Blowfish,Android,6.06,3.99,20.19,215.19,Low,Medium
AES,iOS,5.52,2.64,61.32,221.6,Low,Medium
DES,MacOS,4.53,19.9,87.57,36.43,High,High
RSA,iOS,13.2,6.19,52.94,263.11,Low,Low
Twofish,Linux,16.06,2.97,99.51,257.32,High,Medium
Blowfish,Windows,12.41,5.42,71.13,83.28,High,Medium
DES,MacOS,4.65,2.7,16.67,60.88,Low,Low
AES,Linux,16.6,9.05,99.35,70.55,Low,High
AES,Linux,13.45,16.44,46.71,59.5,Low,Medium
ECC,MacOS,8.99,8.14,35.87,308.76,Medium,High
ECC,iOS,14.13,10,60.21,106.28,High,High
ChaCha20,Linux,6.68,14.16,37.39,133.2,Low,High
RSA,Android,8.21,11.16,17.78,95.05,Medium,Low
DES,Linux,18.51,17.51,10.13,479.34,Low,High
DES,iOS,7.23,17.59,50.46,428.76,High,High
ChaCha20,iOS,10.46,2.18,85.32,122.94,Medium,Medium
Twofish,Android,18.02,16,61.51,170.51,High,Medium
Twofish,Linux,14.74,10.29,99.93,112.85,Low,Low
ChaCha20,iOS,3.12,19.8,35.82,251.02,Low,Low
Twofish,MacOS,4.65,10.7,35.24,19.61,Low,Medium
ECC,Windows,2.14,19.76,24.38,338.97,Medium,Medium
DES,Windows,13.36,15.58,24.77,266.35,Medium,Low
ChaCha20,Windows,10.06,6.47,35.67,450.33,Medium,High
DES,Linux,4.42,11.69,81.36,90.55,Medium,Low
AES,Android,19.24,19.86,91.52,404.01,Low,High
ECC,iOS,11.53,17.44,97.76,398.06,Low,Medium
Blowfish,MacOS,6.35,3.75,30.91,72.32,Low,Medium
ECC,MacOS,11.01,14.71,89.32,205.29,Medium,Medium
ChaCha20,Linux,14.23,8.22,39.54,93.37,Medium,High
Blowfish,Windows,3.37,2.13,20.16,134.81,Low,Low
AES,Linux,6.94,9.26,88.3,138.99,Low,High
ChaCha20,Android,16.53,6.23,67.25,282.56,Medium,Low
RSA,Android,10.27,16.74,24.83,211.59,High,Low
DES,iOS,11.84,8.07,48.68,474.39,Low,Low
AES,iOS,9.79,16.9,35.85,71.92,Low,Medium
DES,Android,2.79,2.01,76.31,487.11,Low,Low
Twofish,Android,4.98,7.54,50.81,123.01,Medium,Medium
RSA,Android,10.02,6.34,99.04,388.71,Low,Low
RSA,Linux,5.77,6.2,14.93,176.1,Low,Low
AES,Android,2.9,3.23,41.95,80.11,Low,Medium
RSA,MacOS,17.19,5.37,53.37,430.37,Low,Medium
Blowfish,Windows,19.66,12,55.28,161.34,Low,High
RSA,Android,16.28,7.24,38.43,332.84,High,Low
DES,Windows,17.37,9.51,75.63,287.56,High,Medium
DES,Linux,6.36,8.78,88.73,241.16,Low,High
ChaCha20,Windows,19.29,17.77,94.48,252.95,Low,High
DES,Linux,5.54,18.3,82.46,368.8,Low,Medium
ChaCha20,MacOS,19.13,10.87,86.55,53.01,Low,Low
DES,Linux,19.91,7.94,59.55,337.41,Medium,High
Blowfish,Linux,14.81,3.92,84.33,448.95,Medium,Low
ChaCha20,iOS,19.66,19.16,37.32,38.32,Medium,Low
ECC,Android,12.25,3.08,45.86,78.92,High,High
Twofish,Android,6.67,7.36,38.52,361.15,Low,Medium
AES,MacOS,9.87,7.37,52.06,224.27,Medium,Low
DES,MacOS,12.68,7.77,35.7,207.74,Low,Medium
RSA,Android,3.32,4.96,96.55,77.11,Low,High
DES,iOS,13.2,16.1,38.16,258.32,High,Low
RSA,Android,19.66,4.2,18.82,72.01,High,Medium
Twofish,iOS,5.42,13.43,57.41,243.54,Medium,Medium
Twofish,MacOS,16.27,4.23,15.14,384.17,Medium,Low
Twofish,Windows,18.34,3.27,19.95,136.55,High,Medium
RSA,MacOS,18.99,18.37,29.75,245.59,High,Medium
DES,MacOS,19.28,5.42,51.79,496.09,Low,High
Twofish,Linux,11.39,16.78,48.99,346.46,Low,High
Blowfish,Linux,19.59,11.8,81.97,422.26,Medium,Medium
ChaCha20,Linux,15.63,3.4,76.55,213.28,Medium,Medium
